City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ambon,ID,-3.6954,128.1814,86.14,89,20,3.44,few clouds
1,Kavieng,PG,-2.5744,150.7967,84.9,69,86,12.48,overcast clouds
2,Provideniya,RU,64.3833,-173.3,28.51,54,75,11.18,broken clouds
3,San Policarpo,PH,12.1791,125.5072,83.8,78,47,8.1,scattered clouds
4,Teknaf,BD,20.8624,92.3058,76.64,95,100,12.8,overcast clouds
5,Shakhtinsk,KZ,49.71,72.5872,36.84,50,5,3.87,clear sky
6,Yining,CN,29.0361,114.5636,50.86,88,91,1.48,overcast clouds
7,Hithadhoo,MV,-0.6,73.0833,81.77,77,100,12.77,overcast clouds
8,Vaini,TO,-21.2,-175.2,82.56,83,40,10.36,scattered clouds
9,Placerville,US,38.7296,-120.7986,64.63,50,75,1.99,broken clouds
10,Yellowknife,CA,62.456,-114.3525,36.41,99,90,6.91,light rain
11,Fort-Shevchenko,KZ,44.5086,50.263,57.34,54,94,15.95,overcast clouds
12,Canar,EC,-2.55,-78.9333,50.04,90,81,2.77,broken clouds
13,Mayo,US,38.8876,-76.5119,59.13,59,20,4.0,few clouds
14,Rikitea,PF,-23.1203,-134.9692,75.58,76,16,13.98,light rain
15,Albany,US,42.6001,-73.9662,51.75,77,80,1.99,broken clouds
16,Havoysund,NO,70.9963,24.6622,36.48,75,100,26.42,overcast clouds
17,Georgetown,MY,5.4112,100.3354,82.33,82,40,3.44,scattered clouds
18,Humaita,BR,-7.5061,-63.0208,75.7,85,89,2.26,overcast clouds
19,Entre Rios,BR,-11.9419,-38.0844,68.23,96,87,3.22,overcast clouds
20,Khatanga,RU,71.9667,102.5,32.77,98,100,12.3,light snow
21,Jibuti,DJ,11.5,42.5,81.82,60,11,4.97,few clouds
22,Mahebourg,MU,-20.4081,57.7,73.26,78,40,12.66,scattered clouds
23,Ushuaia,AR,-54.8,-68.3,49.66,57,20,6.91,few clouds
24,Port Alfred,ZA,-33.5906,26.891,54.01,69,80,9.37,broken clouds
25,Mae Sot,TH,16.7167,98.5667,75.15,88,75,4.61,broken clouds
26,Kuala Terengganu,MY,5.3302,103.1408,80.55,83,20,0.0,light rain
27,Jamestown,US,42.097,-79.2353,52.72,92,90,5.01,light rain
28,Mataura,NZ,-46.1927,168.8643,57.25,59,65,6.67,broken clouds
29,Atuona,PF,-9.8,-139.0333,78.39,71,100,18.48,overcast clouds
30,Den Helder,NL,52.9599,4.7593,57.18,84,90,8.99,overcast clouds
31,Hobart,AU,-42.8794,147.3294,61.02,59,75,5.01,light rain
32,Cape Town,ZA,-33.9258,18.4232,53.11,69,0,6.91,clear sky
33,Manaure,CO,11.7751,-72.4445,83.01,76,87,3.91,overcast clouds
34,Cidreira,BR,-30.1811,-50.2056,60.31,82,61,12.62,broken clouds
35,Cascais,PT,38.6979,-9.4215,67.51,84,100,1.01,overcast clouds
36,Laguna,US,38.421,-121.4238,67.24,65,90,8.01,overcast clouds
37,Poso,ID,-1.3959,120.7524,86.34,61,18,0.89,few clouds
38,Busselton,AU,-33.65,115.3333,67.05,71,14,13.91,few clouds
39,Olinda,BR,-8.0089,-34.8553,80.33,74,75,8.05,broken clouds
40,Ribeira Grande,PT,38.5167,-28.7,70.29,83,25,15.5,scattered clouds
41,Avarua,CK,-21.2078,-159.775,75.25,83,90,9.22,light rain
42,Strezhevoy,RU,60.7333,77.5889,40.98,91,62,8.52,broken clouds
43,La Ronge,CA,55.1001,-105.2842,50.25,57,20,3.44,few clouds
44,Safford,US,32.834,-109.7076,80.06,31,1,5.75,clear sky
45,Hamilton,US,39.1834,-84.5333,56.95,73,1,0.0,clear sky
46,Mar Del Plata,AR,-38.0023,-57.5575,53.13,14,0,1.99,clear sky
47,Samarai,PG,-10.6167,150.6667,83.97,74,100,12.08,overcast clouds
48,Tessalit,ML,20.1986,1.0114,81.1,13,3,10.27,clear sky
49,Klaksvik,FO,62.2266,-6.589,47.32,77,100,26.31,overcast clouds
50,Selikhino,RU,50.3672,137.4996,29.1,47,54,3.62,broken clouds
51,Kapaa,US,22.0752,-159.319,82.38,78,1,4.0,moderate rain
52,Udachnyy,RU,66.4167,112.4,33.49,97,100,19.13,light snow
53,Chitipa,MW,-9.7024,33.2697,66.07,68,16,5.59,few clouds
54,New Port Richey,US,28.2442,-82.7193,76.96,70,0,4.0,clear sky
